# Convergence History Data
# Solver: cg
# Generated: 2025-10-15 12:31:08
Iteration,Residual
1,9.66378797655035E-01
2,2.00082202564059E+00
3,6.64779340542361E-01
4,1.42277732192300E+00
5,1.08550894485194E+00
6,9.13663570719495E-01
7,1.19002139057173E+00
8,1.11098032451213E+00
9,7.44659539204469E-01
10,7.91256517114723E-01
11,6.50346816424358E-01
12,1.02306150211809E+00
13,7.78313025335078E-01
14,7.47041676384029E-01
15,8.28935651379159E-01
16,8.07959617973569E-01
17,6.44352293050754E-01
18,7.33422222453389E-01
19,7.89757232377594E-01
20,8.86649016718629E-01
21,7.31258947786356E-01
22,7.63124416456032E-01
23,6.31339940527437E-01
24,6.10734952244435E-01
25,6.67614401158283E-01
26,6.73493856436297E-01
27,6.03106529768294E-01
28,4.40725153155821E-01
29,5.96330360756852E-01
30,5.84779601676643E-01
31,6.14156337153411E-01
32,6.25236202062080E-01
33,4.95190707983148E-01
34,5.28397871158458E-01
35,5.02263681491498E-01
36,4.76018214405149E-01
37,4.79465948881733E-01
38,3.54943010942452E-01
39,3.90682143637132E-01
40,3.88431464399310E-01
41,3.17870282934298E-01
42,3.37210860516539E-01
43,3.05366021495285E-01
44,2.89646730156873E-01
45,2.94861241676447E-01
46,2.89539808761966E-01
47,2.79849335639245E-01
48,2.35149720355052E-01
49,2.74078266894854E-01
50,2.78033085054044E-01
51,2.33775931010486E-01
52,2.98894140335893E-01
53,2.36047024737816E-01
54,2.23589423115787E-01
55,2.70119298962466E-01
56,1.73986776300415E-01
57,1.98818087804822E-01
58,1.86691818159447E-01
59,1.45721915669803E-01
60,1.81569397009662E-01
61,1.37675094349676E-01
62,1.41211356262202E-01
63,1.67922829213420E-01
64,1.36487736860602E-01
65,1.45616108473291E-01
66,1.25613208592036E-01
67,9.28067706310582E-02
68,1.05118165720906E-01
69,8.38733753610586E-02
70,7.49224463129148E-02
71,6.76617015949096E-02
72,5.70270500186113E-02
73,7.22329687975850E-02
74,6.18477584631031E-02
75,6.11372768785689E-02
76,7.44862674922391E-02
77,5.81934401530493E-02
78,6.46644747605080E-02
79,5.64886492092528E-02
80,4.58923629705474E-02
81,5.63204459536471E-02
82,4.81858079870862E-02
83,4.56762762591655E-02
84,4.48928164023526E-02
85,5.01917378905743E-02
86,4.41311664323759E-02
87,4.29530108430650E-02
88,4.38807971207960E-02
89,3.55740203746026E-02
90,3.91102424828502E-02
91,3.71855809977977E-02
92,3.35746094312140E-02
93,3.37895026661338E-02
94,2.88110995564274E-02
95,2.98765069909810E-02
96,2.79338795790301E-02
97,2.45737381826385E-02
98,2.83640181319733E-02
99,2.30012052441338E-02
100,2.51550061217654E-02
101,2.29062131595204E-02
102,1.90455668591787E-02
103,2.05129685817278E-02
104,1.75734785967866E-02
105,1.99171946342574E-02
106,1.97116123026692E-02
107,1.75652576780305E-02
108,1.93474779158874E-02
109,1.58479473566122E-02
110,1.62803490335877E-02
111,1.46148246167000E-02
112,1.20852597006322E-02
113,1.23542517259905E-02
114,1.09296251220312E-02
115,1.23406276347114E-02
116,1.00946635615222E-02
117,9.67355368096534E-03
118,1.12879404486010E-02
119,9.43242211549929E-03
120,1.24408997438166E-02
121,1.05062945561192E-02
122,9.18354690396181E-03
123,1.14664488891109E-02
124,9.90297366401942E-03
125,9.67808748104879E-03
126,1.11161959242407E-02
127,8.52297679281054E-03
128,1.01852258080385E-02
129,9.12980388178151E-03
130,7.82754003869362E-03
131,9.46628123455533E-03
132,7.91360905285473E-03
133,7.79797755558269E-03
134,8.61593523346667E-03
135,6.55834629161544E-03
136,8.34161598621053E-03
137,8.48516500995045E-03
138,6.15492225559167E-03
139,8.16211753012504E-03
140,6.78468251733960E-03
141,5.66718992239066E-03
142,7.17891629792803E-03
143,5.67118393396884E-03
144,5.51738782274023E-03
145,6.85256521012528E-03
146,5.11390012688689E-03
147,5.61917293315283E-03
148,5.34642189151861E-03
149,4.69876423397396E-03
150,4.41919988435271E-03
151,4.61512661634181E-03
152,4.45598092412714E-03
153,3.63086420986229E-03
154,3.57139751017614E-03
155,2.99143750558360E-03
156,2.85388697230004E-03
157,3.03507078994725E-03
158,2.60621539071049E-03
159,2.73921709626920E-03
160,2.46464582347119E-03
161,2.29702766164622E-03
162,2.71065360965180E-03
163,2.15799974626321E-03
164,2.43539873464571E-03
165,2.07312067994613E-03
166,1.81981513538223E-03
167,1.83391060932857E-03
168,1.56731791398707E-03
169,1.54135732464820E-03
170,1.31479035157704E-03
171,1.30746822938878E-03
172,1.60308065311195E-03
173,1.11770194381541E-03
174,1.21366150632263E-03
175,1.18084880911288E-03
176,1.09135298915299E-03
177,1.21175366321642E-03
178,1.18255126348803E-03
179,1.27785011227886E-03
180,1.11948354365291E-03
181,1.37449764301862E-03
182,1.33952373973361E-03
183,1.01836020850619E-03
184,1.22586659198578E-03
185,9.84567084318718E-04
186,9.89099938669808E-04
187,9.85162577296501E-04
188,7.44662110747629E-04
189,8.64453863488319E-04
190,7.26036232460917E-04
191,6.23493575642760E-04
