Z [mm], Temperature [K]
0.000000, 300.870836
0.005000, 304.353932
0.045000, 319.983003
0.050000, 329.867260
0.055000, 330.785044
0.095000, 334.658660
0.100000, 336.609083
0.105000, 336.617527
0.190000, 336.665071
0.195000, 336.710153
0.200000, 336.944771
0.205000, 337.408975
0.245000, 339.483905
0.250000, 340.531358
0.255000, 340.535899
0.340000, 340.561649
0.345000, 340.585927
0.350000, 340.710920
0.355000, 340.958188
0.395000, 342.061576
0.400000, 342.618434
0.405000, 342.620778
0.490000, 342.623102
0.495000, 342.624193
0.500000, 342.622939
0.505000, 342.620311
0.545000, 342.603546
0.550000, 342.595004
0.555000, 342.594980
0.595000, 342.594969
0.600000, 342.594963
