Z [mm], Temperature [K]
0.000000, 300.869876
0.005000, 304.349155
0.045000, 319.965720
0.050000, 329.843787
0.055000, 330.761905
0.095000, 334.671000
0.100000, 336.641960
0.105000, 336.651759
0.190000, 336.905192
0.195000, 337.170576
0.200000, 337.377699
0.205000, 337.789349
0.245000, 339.699564
0.250000, 340.667312
0.255000, 340.672783
0.340000, 340.903269
0.345000, 341.146833
0.350000, 341.239372
0.355000, 341.424280
0.395000, 342.319241
0.400000, 342.774323
0.405000, 342.777495
0.490000, 342.983156
0.495000, 343.201990
0.500000, 343.158264
0.505000, 343.073340
0.545000, 342.749757
0.550000, 342.588210
0.555000, 342.587778
0.595000, 342.587563
0.600000, 342.587457
